Destination Latitude,Destination Longitude,Origin Airport Name,City,Country,Origin Latitude,Origin Longitude,Business Passangers,Passangers,Destination Name,Destination Code,Departure Date Month,Destination Country Name,Origin,Route_Type
null,null,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,36,Milan,MIL,01-12-2019,Italie,LUX,LUX-MIL
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,24,Tenerife Sud,TFS,01-10-2019,Spain,LUX,LUX-TFS
36.8439,-2.3701,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Almeria,LEI,01-10-2019,Spain,LUX,LUX-LEI
25.5571,34.5837,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,15,Marsa Alam,RMF,01-11-2019,Egypte,LUX,LUX-RMF
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,60,Gran Canaria,LPA,01-05-2020,Spain,LUX,LUX-LPA
32.6979,-16.7745,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,40,Madeira,FNC,01-12-2019,Portugal,LUX,LUX-FNC
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Tenerife Sud,TFS,01-11-2019,Spain,LUX,LUX-TFS
31.6069,-8.0363,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,30,Marrakech,RAK,01-11-2019,Maroc,LUX,LUX-RAK
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,30,Gran Canaria,LPA,01-06-2020,Spain,LUX,LUX-LPA
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,38,Gran Canaria,LPA,01-06-2020,Spain,LUX,LUX-LPA
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,22,Tenerife Sud,TFS,01-11-2019,Spain,LUX,LUX-TFS
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,22,Gran Canaria,LPA,01-06-2020,Spain,LUX,LUX-LPA
25.5571,34.5837,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,17,Marsa Alam,RMF,01-10-2019,Egypte,LUX,LUX-RMF
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,13,Tenerife Sud,TFS,01-11-2019,Spain,LUX,LUX-TFS
36.6749,-4.4991,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,36,Malaga,AGP,01-10-2019,Spain,LUX,LUX-AGP
36.6749,-4.4991,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,17,Malaga,AGP,01-12-2019,Spain,LUX,LUX-AGP
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,40,Tenerife Sud,TFS,01-11-2019,Spain,LUX,LUX-TFS
38.176,13.091,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Palerme,PMO,01-10-2019,Italie,LUX,LUX-PMO
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,16,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
16.7414,-22.9494,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,68,Sal,SID,01-01-2020,Cap Vert,LUX,LUX-SID
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,38,Tenerife Sud,TFS,01-04-2020,Spain,LUX,LUX-TFS
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,30,Tenerife Sud,TFS,01-04-2020,Spain,LUX,LUX-TFS
48.1103,16.5697,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,48,Vienna,VIE,01-12-2019,Autriche,LUX,LUX-VIE
36.6749,-4.4991,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,42,Malaga,AGP,01-10-2019,Spain,LUX,LUX-AGP
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,22,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Gran Canaria,LPA,01-12-2019,Spain,LUX,LUX-LPA
32.6979,-16.7745,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,20,Madeira,FNC,01-12-2019,Portugal,LUX,LUX-FNC
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,44,Palma Mallorca,PMI,01-03-2020,Spain,LUX,LUX-PMI
28.4527,-13.8638,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Fuerteventura,FUE,01-12-2019,Spain,LUX,LUX-FUE
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,36,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
36.6749,-4.4991,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,26,Malaga,AGP,01-10-2019,Spain,LUX,LUX-AGP
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,17,Gran Canaria,LPA,01-12-2019,Spain,LUX,LUX-LPA
28.9455,-13.6052,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,56,Lanzarote,ACE,01-02-2020,Spain,LUX,LUX-ACE
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,30,Palma Mallorca,PMI,01-02-2020,Spain,LUX,LUX-PMI
43.81,11.2051,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,24,Florence,FLR,01-05-2020,Italie,LUX,LUX-FLR
36.6749,-4.4991,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,10,Malaga,AGP,01-10-2019,Spain,LUX,LUX-AGP
36.4054,28.0862,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Rhodos,RHO,01-05-2020,Grece,LUX,LUX-RHO
25.6135,55.9388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,38,RAS AL KHAIMAH,RKT,01-12-2019,Arab Emirates,LUX,LUX-RKT
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Tenerife Sud,TFS,01-11-2019,Spain,LUX,LUX-TFS
28.9455,-13.6052,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,38,Lanzarote,ACE,01-07-2020,Spain,LUX,LUX-ACE
37.0144,-7.9659,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,26,Faro,FAO,01-10-2019,Portugal,LUX,LUX-FAO
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,14,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
25.6135,55.9388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,30,RAS AL KHAIMAH,RKT,01-11-2019,Arab Emirates,LUX,LUX-RKT
27.1783,33.7994,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,20,Hurghada,HRG,01-01-2020,Egypte,LUX,LUX-HRG
27.1783,33.7994,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Hurghada,HRG,01-12-2019,Egypte,LUX,LUX-HRG
41.1389,16.7606,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,12,Bari,BRI,01-10-2019,Italie,LUX,LUX-BRI
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,36,Tenerife Sud,TFS,01-11-2019,Spain,LUX,LUX-TFS
36.8987,30.8005,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,45,Antalya,AYT,01-10-2019,Turquie,LUX,LUX-AYT
36.7446,-6.0601,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Jerez,XRY,01-10-2019,Spain,LUX,LUX-XRY
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,80,Tenerife Sud,TFS,01-01-2020,Spain,LUX,LUX-TFS
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,6,114,Tenerife Sud,TFS,01-10-2019,Spain,LUX,LUX-TFS
41.2971,2.0785,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,13,Barcelone,BCN,01-10-2019,Spain,LUX,LUX-BCN
36.8987,30.8005,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,60,Antalya,AYT,01-10-2019,Turquie,LUX,LUX-AYT
36.0758,10.4386,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,16,Enfidha,NBE,01-10-2019,Tunisie,LUX,LUX-NBE
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,38,Tenerife Sud,TFS,01-10-2019,Spain,LUX,LUX-TFS
30.325,-9.4131,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,30,Agadir,AGA,01-12-2019,Maroc,LUX,LUX-AGA
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,38,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
37.0144,-7.9659,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Faro,FAO,01-07-2020,Portugal,LUX,LUX-FAO
36.6749,-4.4991,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,12,Malaga,AGP,01-10-2019,Spain,LUX,LUX-AGP
36.4054,28.0862,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,40,Rhodos,RHO,01-05-2020,Grece,LUX,LUX-RHO
36.8987,30.8005,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,5,80,Antalya,AYT,01-08-2020,Turquie,LUX,LUX-AYT
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,28,Tenerife Sud,TFS,01-10-2019,Spain,LUX,LUX-TFS
31.6069,-8.0363,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,17,Marrakech,RAK,01-11-2019,Maroc,LUX,LUX-RAK
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,38,Gran Canaria,LPA,01-10-2019,Spain,LUX,LUX-LPA
16.7414,-22.9494,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,36,Sal,SID,01-12-2019,Cap Vert,LUX,LUX-SID
null,null,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,26,Rome,ROM,01-12-2019,Italie,LUX,LUX-ROM
33.875,10.7755,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,13,Djerba,DJE,01-10-2019,Tunisie,LUX,LUX-DJE
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,17,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,72,Gran Canaria,LPA,01-04-2020,Spain,LUX,LUX-LPA
37.0144,-7.9659,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,28,Faro,FAO,01-10-2019,Portugal,LUX,LUX-FAO
37.0144,-7.9659,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,76,Faro,FAO,01-10-2019,Portugal,LUX,LUX-FAO
33.875,10.7755,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,42,Djerba,DJE,01-10-2019,Tunisie,LUX,LUX-DJE
38.7813,-9.1359,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,36,Lisboa,LIS,01-03-2020,Portugal,LUX,LUX-LIS
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
25.6135,55.9388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,28,RAS AL KHAIMAH,RKT,01-12-2019,Arab Emirates,LUX,LUX-RKT
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,26,Tenerife Sud,TFS,01-02-2020,Spain,LUX,LUX-TFS
45.5053,12.3519,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,24,Venice,VCE,01-02-2020,Italie,LUX,LUX-VCE
null,null,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,30,Berlin,BER,01-04-2020,Allemagne,LUX,LUX-BER
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,22,Gran Canaria,LPA,01-09-2020,Spain,LUX,LUX-LPA
28.9455,-13.6052,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,72,Lanzarote,ACE,01-04-2020,Spain,LUX,LUX-ACE
28.9455,-13.6052,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,48,Lanzarote,ACE,01-04-2020,Spain,LUX,LUX-ACE
36.8987,30.8005,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,40,Antalya,AYT,01-10-2019,Turquie,LUX,LUX-AYT
48.1103,16.5697,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,24,Vienna,VIE,01-12-2019,Autriche,LUX,LUX-VIE
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Gran Canaria,LPA,01-11-2019,Spain,LUX,LUX-LPA
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Gran Canaria,LPA,01-11-2019,Spain,LUX,LUX-LPA
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,22,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
35.8575,14.4775,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,30,Malte,MLA,01-10-2019,Malte,LUX,LUX-MLA
27.1783,33.7994,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,80,Hurghada,HRG,01-10-2019,Egypte,LUX,LUX-HRG
28.4527,-13.8638,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,19,Fuerteventura,FUE,01-12-2019,Spain,LUX,LUX-FUE
28.9455,-13.6052,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Lanzarote,ACE,01-10-2019,Spain,LUX,LUX-ACE
30.325,-9.4131,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,24,Agadir,AGA,01-07-2020,Maroc,LUX,LUX-AGA
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Gran Canaria,LPA,01-10-2019,Spain,LUX,LUX-LPA
37.0144,-7.9659,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,28,Faro,FAO,01-11-2019,Portugal,LUX,LUX-FAO
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,20,Tenerife Sud,TFS,01-11-2019,Spain,LUX,LUX-TFS
36.8987,30.8005,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,48,Antalya,AYT,01-10-2019,Turquie,LUX,LUX-AYT
36.6749,-4.4991,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,51,Malaga,AGP,01-10-2019,Spain,LUX,LUX-AGP
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,52,Palma Mallorca,PMI,01-05-2020,Spain,LUX,LUX-PMI
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,22,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,24,Gran Canaria,LPA,01-03-2020,Spain,LUX,LUX-LPA
30.325,-9.4131,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,20,Agadir,AGA,01-02-2020,Maroc,LUX,LUX-AGA
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,40,Tenerife Sud,TFS,01-12-2019,Spain,LUX,LUX-TFS
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,19,Tenerife Sud,TFS,01-12-2019,Spain,LUX,LUX-TFS
37.0144,-7.9659,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,28,Faro,FAO,01-06-2020,Portugal,LUX,LUX-FAO
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,3,33,Palma Mallorca,PMI,01-10-2019,Spain,LUX,LUX-PMI
28.0445,-16.5725,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Tenerife Sud,TFS,01-10-2019,Spain,LUX,LUX-TFS
37.0144,-7.9659,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,17,Faro,FAO,01-06-2020,Portugal,LUX,LUX-FAO
27.1783,33.7994,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,20,Hurghada,HRG,01-12-2019,Egypte,LUX,LUX-HRG
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,20,Gran Canaria,LPA,01-09-2020,Spain,LUX,LUX-LPA
35.3397,25.1803,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,76,Heraklion,HER,01-07-2020,Grece,LUX,LUX-HER
27.9319,-15.3866,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,1,18,Gran Canaria,LPA,01-12-2019,Spain,LUX,LUX-LPA
null,null,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,5,90,Rome,ROM,01-05-2020,Italie,LUX,LUX-ROM
36.6749,-4.4991,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,4,68,Malaga,AGP,01-09-2020,Spain,LUX,LUX-AGP
36.6749,-4.4991,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,20,Malaga,AGP,01-09-2020,Spain,LUX,LUX-AGP
28.4527,-13.8638,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,36,Fuerteventura,FUE,01-11-2019,Spain,LUX,LUX-FUE
27.1783,33.7994,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,5,70,Hurghada,HRG,01-12-2019,Egypte,LUX,LUX-HRG
36.6749,-4.4991,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,6,72,Malaga,AGP,01-11-2019,Spain,LUX,LUX-AGP
32.6979,-16.7745,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Madeira,FNC,01-11-2019,Portugal,LUX,LUX-FNC
28.9455,-13.6052,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,20,Lanzarote,ACE,01-12-2019,Spain,LUX,LUX-ACE
36.0758,10.4386,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,34,Enfidha,NBE,01-05-2020,Tunisie,LUX,LUX-NBE
41.2971,2.0785,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,40,Barcelone,BCN,01-04-2020,Spain,LUX,LUX-BCN
39.5517,2.7388,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233,6.20444,2,32,Palma Mallorca,PMI,01-11-2019,Spain,LUX,LUX-PMI
